stationId,adresse,latitude,longitude,X,Y,polluant,valeur,date,heure
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"PM",17,2024-08-14,0
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"PM",19,2024-08-14,0
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"PM",19,2024-08-14,0
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"PM",18,2024-08-14,0
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"PM",18,2024-08-14,0
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",17,2024-08-14,0
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"PM",18,2024-08-14,0
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"PM",18,2024-08-14,0
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"PM",19,2024-08-14,0
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"PM",17,2024-08-14,0
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"PM",19,2024-08-14,0
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"PM",18,2024-08-14,1
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"PM",20,2024-08-14,1
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"PM",20,2024-08-14,1
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"PM",20,2024-08-14,1
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"PM",19,2024-08-14,1
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",18,2024-08-14,1
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"PM",18,2024-08-14,1
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"PM",20,2024-08-14,1
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"PM",20,2024-08-14,1
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"PM",18,2024-08-14,1
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"PM",19,2024-08-14,1
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"PM",18,2024-08-14,2
