VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour mai 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Numéro de,Montant de ,Description
,commande,,d'approbation,l'entente,l'engagement,
"ANGELY, MARION",1197587,ASS. PARITAIRE SANTE & SECURITE AFF. MUNIC.,05-01-17,,"1 836,00",Formation en santé et sécurité
,1199570,BATTAH - AVOCATS S.E.N.C.R.L.,05-09-17,,"992,13",Conseiller en relation de travail
,1204343,CENTRE PATRONAL DE SST DU QUEBEC,05-29-17,,"123,99",Formation en développement organisationnel et technique
,1202457,CYCLONE SANTE INC.,05-18-17,,"1 338,59",Médecin
,1204574,,05-30-17,,"2 509,20",Médecin
,1198231,GROUPE SANTE DUCORE INC.,05-03-17,,"824,15",Expertise médicale
"BAUDIN, CYRIL",1201701,3289419 CANADA (COLLINS),05-16-17,,"242,07",Bottes de travail
,1199728,ENTREPRISES FORLINI-DIVISION,05-09-17,,"116,54",Bottes de travail
,1199198,PRODUITS SANY,05-08-17,1048199,"295,02",Produit d'entretien
,1201345,,05-15-17,1048199,"208,20",Produit et équipement d'entretien
,1198179,TECH VAC ENVIRONNEMENT INC.,05-03-17,,"360,32",Service - Traitement/valorisation de matières organiques
,1199745,TENAQUIP LIMITED,05-09-17,,"294,49",Pompe et compresseur
,1202184,,05-17-17,,"250,55",Outil manuel
"BOUTIN, PIERRE",1198594,CLEAN WATER WORKS INC,05-04-17,,"22 257,35",Réparation de conduit d'aqueduc
,1200257,ENTREPRENEUR PAYSAGISTES STRATHMORE(1997),05-10-17,,"7 725,57",Service - Aménagement paysager
,1200522,LES PAVAGES DANCAR (2009) INC.,05-11-17,,"20 504,05",Bloc de béton et pavé
,1197331,LOCATION SAUVAGEAU INC.,05-08-17,,"13 648,37",Location - Camion spécialisé pour l'aqueduc
,1204061,,05-26-17,,"20 724,53",Location - Automobile
,1204714,,05-30-17,,"6 661,46",Location - Automobile
,1203428,PEPINIERE A. MUCCI INC.,05-24-17,1074486,"9 149,66",Mélange de terre
,1201127,RENE JUILLET,05-17-17,,"9 868,82",Conseiller en santé et sécurité
,1184380,SCIAGE DE BETON 2000 INC.,05-19-17,,"6 708,70",Location - Outil manuel
"BROUSSEAU, HELENE",1197941,ATMOSPHARE INC.,05-02-17,,"5 457,14",Mobilier pour espace public et jardin
,1198941,ENSEIGNES DUMAS,05-05-17,,"2 233,09",Plaque
,1198937,GHD CONSULTANTS LTEE,05-05-17,,"12 755,98",Ingénieur environnement
,1198938,LES CONSTRUCTIONS ARGOZY INC.,05-05-17,,"7 559,10",Service - Aménagement paysager
,1195385,LOCATION SAUVAGEAU INC.,05-05-17,,"4 472,47",Location - Automobile
,1198791,MARTECH SIGNALISATION INC.,05-04-17,,"324,41",Panneaux de signalisation
"CARRIER, RAYMOND",1199617,ACCES COMMUNICATIONS,05-09-17,,"545,93",Location - Appareil de communication
,1203120,,05-23-17,,"545,93",Location - Appareil de communication
