VILLE DE MONTRÉAL  ,,,,,,
Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce,,,,,,
Listes des bons de commandes approuvés pour Mars 2017,,,,,,
,,,,,,
,,,,,,
Dernier Approbateur,Numéro bon ,Nom fournisseur,Date ,Numéro de,Montant de ,Description
,commande,,d'approbation,l'entente,l'engagement,
"BAUDIN, CYRIL",1191960,CONSTRUCTION DJL INC,03-30-17,,"1 825,55","Asphalte, bitume"
,1190792,GROUPE BISSONNETTE INC.,03-24-17,,"481,05",Produit d'entretien ménager
,1187445,HILTI CANADA LTEE,03-09-17,,"887,69",Achat d'un perforateur
,1187686,TENAQUIP LIMITED,03-09-17,,"120,74",Réservoir et contenant de stockage
"BOUTIN, PIERRE",1176330,CONSTRUCTION DJL INC,03-15-17,,"16 373,10","Asphalte, bitume"
,1187642,LES JARDINS W.G. CHARLEBOIS INC.,03-09-17,,"13 696,51",Végétaux
,1187735,LES SERRES RIEL INC,03-09-17,,"11 936,11",Végétaux
"BROUSSEAU, HELENE",1188543,C.P.U. DESIGN INC.,03-14-17,,"22,50",Composante électronique
"CARRIER, RAYMOND",1187654,BIBLIOFICHE,03-13-17,,"2 051,46",Fourniture de classement et de rangement
,1188611,BIBLIO RPL LTEE,03-15-17,,"270,97",Fourniture et article de bureau
,1187650,BIBLIOTHECA ITG INC.,03-09-17,,"2 093,45",Ordinateur et accessoire
,1187633,BRAULT & BOUTHILLIER LTEE,03-09-17,,"585,75",Fournitures de bureau
,1189504,,03-20-17,,"196,91","Papier, article de papeterie"
,1189997,CAROLINE LAVOIE,03-21-17,,"262,47",Service - Artiste de la scène
,1187639,CARR MCLEAN LIMITED,03-09-17,,"1 329,65","Classeur, étagère et armoire de rangement"
,1188846,CATHERINE LEMIEUX LEFEBVRE,03-16-17,,"200,00","Formation, animation d'atelier"
,1188519,CHANTALE PAGE CONSULTATION INC.,03-14-17,,"262,47",Service - Artiste visuel
,1190666,CHARLES BOIVIN,03-24-17,,"1 049,87",Réparation/Entretien - Matériel artistique
,1190066,CINEMA LE CLAP INC,03-21-17,,"203,26",Projection du film
,1188641,COPIBEC,03-15-17,,"992,13",Service - Droit d'auteur
,1188772,DIRECTION D'ARTISTES FLEMING,03-15-17,,"1 364,84",Service - Artiste musical
,1186002,ENCADREX INC.,03-01-17,,"414,49",Moulure et vitre
,1188860,FRANCIS MARIN,03-16-17,,"1 600,00",Service - Artiste visuel
,1190650,GUARD-X INC,03-24-17,,"118,11",Entrepreneur en systèmes localisés d'extinction incendie
,1187803,IDENCO CANADA LTEE,03-09-17,,"138,58",Équipement de scène
,1186763,INSTITUT UNIVERSITAIRE DE GERIATRIE DE MTL,03-06-17,,"325,00","Service - Formation, animation d'atelier"
,1186751,ISAAC CARDOSO DA SILVA NETO,03-06-17,,"1 200,00",Service - Artiste musical
,1187661,JEUNESSES MUSICALES CANADA,03-09-17,,"2 257,23",Service - Artiste musical
,1188864,,03-16-17,,"708,67",Service - Artiste de la scène
,1188521,LAMCOM TECHNOLOGIES INC.,03-14-17,,"1 113,29","Papier, article de papeterie"
,1188768,LE MOULIN A MUSIQUE INC.,03-15-17,,"1 364,84",Service - Artiste musical
,1188455,L'EMPREINTE IMPRIMERIE INC.,03-14-17,,"1 049,87",Service - Impression
,1188448,LE MUSEE DU ROCK'N'ROLL,03-14-17,,"1 679,80",Service - Artiste visuel
,1186003,LES FILMS CRITERION PICTURES,03-01-17,,"1 574,81",Film
"CARRIER, RAYMOND",1189521,LES SOLUTIONS DE RANGEMENT PRISMA INC.,03-20-17,,"3 543,33",Fourniture de classement et de rangement
,1190654,LOCATION JEAN LEGARE LTEE,03-24-17,,"1 049,87",Service - Déménagement
,1189361,MAGASINS BEST BUY LTEE,03-17-17,,"1 786,45",Appareil électronique
,1188400,MAGIC LIGHT (MC),03-14-17,,"1 948,75",Service - Organisation de festivals et spectacles
,1188762,PHILIPPE ROUTHIER,03-15-17,,"1 505,00",Service - Artiste musical
,1189363,QUINCAILLERIE COTE DES NEIGES,03-17-17,,"1 049,87","Matériel de fixation, clou, vis"
,1189367,,03-17-17,,"1 259,85","Matériel de fixation, clou, vis"
,1186742,RANDOLPH PUB LUDIQUE INC.,03-06-17,,"183,73","Service - Formation, animation d'atelier"
,1186745,,03-06-17,,"288,72","Service - Formation, animation d'atelier"
,1187233,R.M. LEDUC & CIE INC.,03-07-17,,"1 694,53",Fourniture et article de bureau
,1187796,,03-09-17,,"415,22",Ameublement
,1189499,,03-20-17,,"687,78",Fourniture et article de bureau
,1186733,SANDRA CHERY,03-06-17,,"250,00","Service - Formation, animation d'atelier"
,1189508,SHARP ELECTRONIQUE DU CANADA LTEE,03-20-17,,"1 049,87",Location - Photocopieur
,1189513,,03-20-17,,"1 049,87",Location - Photocopieur
,1188639,SIMPLEVU INC.,03-15-17,,"664,68",Appareil électronique
,1188852,STE DE MUSIQUE CONTEMPORAINE DU QC,03-16-17,,"1 736,49",Service - Artiste musical
,1190067,SOLOTECH INC,03-21-17,,"441,54",Composante électronique
,1189525,SOLUTIONS DE CONTROLE ET DE SECURITE CS INC.,03-20-17,,"745,41",Support annuel
,1188765,SYLVIE FULLUM,03-15-17,,"262,47","Service - Formation, animation d'atelier"
,1188839,THEATRE DE L'OEIL INC,03-16-17,,"1 889,77",Service - Artiste de la scène
,1188721,TOSHIBA SOLUTIONS D'AFFAIRES,03-15-17,,"7 716,58",Location - Photocopieur
,1190663,VIDEOTRON S.E.N.C,03-24-17,,"860,90",Service - Accès internet
,1188644,VOXEL FACTORY INC.,03-15-17,,"289,23","Papiers, articles de papiterie"
"DESJARDINS, STEVE",1191434,CUISINE-ATOUT,03-29-17,,"202,50",Service - Traiteur
,1189517,HOPITAL VETERINAIRE SHERWOOD PARK,03-20-17,,"3 149,62",Vétérinaire
,1186729,SERVICES D'ARBRES PRIMEAU INC.,03-06-17,,"3 832,04","Service - Abattage, émondage, élagage"
"DUPLANTIE, SYLVIA-ANNE",1186038,CENTRE DE SERVICES PARTAGES DU QC,03-01-17,,"314,96",Service - Téléphonie cellulaire
,1188183,FLEURISTE SUSHY,03-13-17,,"608,93",Service - Aménagement paysager
,1187146,CENTRE DE FORMATION INTEGREE INC.,03-07-17,,"288,72",Frais - Inscription pour colloque et congrès
,1187420,IMPRIMERIE MULTI-FORMAT,03-08-17,,"598,43",Service - Impression
,1187782,LUNCH INSOLITE,03-09-17,,"237,80",Service - Traiteur
,1185875,MONTREAL STENCIL INC,03-01-17,,"23,94",Article de bureau
"FRAPPIER, GENEVIEVE",1188266,CORPORATION D'URGENCES-SANTE,03-13-17,,"131,48",Service - Transport ambulancier
,1188433,LES AUTOBUS LA MONTREALAISE INC,03-14-17,,"866,15",Service - Transport autobus
,1191983,PRODUITS SANY,03-30-17,1048199,"466,55",Produit et équipement d'entretien
,1191984,,03-30-17,1048199,"329,16",Produit et équipement d'entretien
"GAUDREAULT, SONIA",1189674,ASS. RESPONSABLES AQUATIQUES DU QC,03-21-17,,"248,00",Frais - Adhésion et cotisation
,1187128,CAFE 92 DEGRES INC.,03-07-17,,"190,39",Service - Traiteur
,1189695,CONSEIL DES ARTS DE MONTREAL,03-21-17,,"1 125,00",Achat de billets
,1161015,LES E/SES DE CONSTRUCTION PROFIL INC.,03-08-17,,"1 413,13",Réaménagement de vestiaires
,1190760,LES INSTALLATIONS SPORTIVES AGORA INC.,03-24-17,,"495,71",Réparation/Entretien - Équipement de sport et terrain de jeux
,1191926,,03-30-17,,"997,38",Réparation/Entretien - Équipement de sport et terrain de jeux
,1191850,LES SCIENTIFINES,03-30-17,,"155,00","Service - Formation, animation d'atelier"
,1191791,LUMIPRO INC.,03-30-17,,"608,93","Service - Installation, gestion, entretien"
,1191804,MGR CANADA,03-30-17,,"796,86","Matériel pour loisir, jeu"
,1185994,ROGERS AT & T COMMUNICATIONS SANS FIL,03-01-17,,"13 041,85",Service - Téléphonie cellulaire
"GENDRON, DENIS",1188386,2946-8980 QUEBEC INC.,03-14-17,,"18 406,41",Frais - Stationnement
,1190756,9028-3870 QUEBEC INC.,03-24-17,,"1 267,72",Fil et câble électrique
,1165196,BATTAH - AVOCATS S.E.N.C.R.L.,03-07-17,,"330,71",Conseiller en relation de travail
,1186045,CENTRE DE SERVICES PARTAGES DU QC,03-01-17,781453,"361,96",Service - Téléphonie cellulaire
,1186051,,03-01-17,781453,"1 159,16",Service - Téléphonie cellulaire
