NOM DE L'ORGANISME,RÉPARTITION,SERVICE,DIRECTION,NUMÉRO DE DOSSIER,OBJET,NUMÉRO DÉCISION,DATE SIGNATURE,CONTRIBUTION MONÉTAIRE,ÉCART VERSUS VALEUR MARCHANCE DU LOYER,SOUTIEN TECHNIQUE,VALEUR TOTALE
SOCIÉTÉ RESSOURCES-LOISIRS DE POINTE-AUX-TREMBLES,100 % AGGLOMÉRATION,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1146368002,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 25 000 $, POUR L'ANNÉE 2014, À SOCIÉTÉ RESSOURCES-LOISIRS DE POINTE-AUX-TREMBLES POUR LE PROJET INTERVENTION AUX HABITATIONS SÉGUIN, DANS LE CADRE DE L'ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS",CE14 1209,2014-08-25,25000,0,0,25000
COMMISSION DE DÉVELOPPEMENT DE RESSOURCES HUMAINES DES PREMIÈRES NATIONS DU QUÉBEC (CDRHPNQ),100 % AGGLOMÉRATION,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1140706004,"ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 30 000 $ À COMMISSION DE DÉVELOPPEMENT DES RESSOURCES HUMAINES DES PREMIÈRES NATIONS DU QUÉBEC (CDRHPNQ), POUR LE PROJET PIKWADIN, DANS LE CADRE DE L’ENTENTE ADMINISTRATIVE SUR LA GESTION DU FONDS QUÉBÉCOIS D",CE14 1213,2014-08-25,30000,0,0,30000
SOCCER DE RUE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1146794001,ACCORDER UN SOUTIEN FINANCIER NON RÉCURRENT DE 5 000 $ À SOCCER DE RUE MONTRÉAL AFIN DE RÉALISER UN PROJET PILOTE DE SOCCER DE RUE POUR LA PÉRIODE DU 25 AOÛT AU 19 OCTOBRE 2014 DANS LE CADRE DU BUDGET RÉGULIER DU SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPO,CE14 1214,2014-08-20,5000,0,0,5000
TABLE DE QUARTIER LAC SAINT-LOUIS/DORVAL (TQS),100 % AGGLOMÉRATION,SERVICE DE LA DIVERSITÉ SOCIALE ET DES SPORTS,DIRECTION,1143220005,"ACCORDER UN SOUTIEN FINANCIER DE 10 000 $, POUR L'ANNÉE 2014, À TABLE DE QUARTIER LAC ST-LOUIS/DORVAL (TQS) FAISANT AUSSI AFFAIRE SOUS LE NOM DE TQSOI - TABLE DE QUARTIER SUD DE L'OUEST DE L'ILE, POUR LA RÉALISATION DU PROJET « DIAGNOSTIC DES BESOINS DE L",CE14 1216,2014-08-20,10000,0,0,10000
COMPÉTITION DES POMPIERS DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE SÉCURITÉ INCENDIE DE MONTRÉAL,DIRECTION,1142645001,"ACCORDER UNE CONTRIBUTION FINANCIÈRE DE 5 000 $ À COMPÉTITION POMPIER MONTRÉAL POUR LA TENUE DE LA COMPÉTITION ""SCOTT FIREFIT CHAMPIONSHIPS"" À MONTRÉAL LES 6 ET 7 SEPTEMBRE 2014",CE14 1286,2014-08-27,5000,0,0,5000
CENTRE D'HISTOIRE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME,1143751009,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 93 992 $ À 5 ORGANISMES DANS LE CADRE DU PROGRAMME D'INTERPRÉTATION ANIMÉE DU VIEUX-MONTRÉAL 2014-2015, DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL 2008-2011 ET DE L'ENTENTE SUR",CE14 1307,2014-08-27,5000,0,0,5000
CHÂTEAU RAMEZAY,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME,1143751009,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 93 992 $ À 5 ORGANISMES DANS LE CADRE DU PROGRAMME D'INTERPRÉTATION ANIMÉE DU VIEUX-MONTRÉAL 2014-2015, DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL 2008-2011 ET DE L'ENTENTE SUR",CE14 1307,2014-08-27,37900,0,0,37900
CORPORATION DE LA CHAPELLE NOTRE-DAME-DE-BONSECOURS,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME,1143751009,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 93 992 $ À 5 ORGANISMES DANS LE CADRE DU PROGRAMME D'INTERPRÉTATION ANIMÉE DU VIEUX-MONTRÉAL 2014-2015, DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL 2008-2011 ET DE L'ENTENTE SUR",CE14 1307,2014-08-27,20592,0,0,20592
MUSÉE D’ARCHÉOLOGIE ET D’HISTOIRE DE MONTRÉAL - POINTE-À-CALLIÈRE,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME,1143751009,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 93 992 $ À 5 ORGANISMES DANS LE CADRE DU PROGRAMME D'INTERPRÉTATION ANIMÉE DU VIEUX-MONTRÉAL 2014-2015, DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL 2008-2011 ET DE L'ENTENTE SUR",CE14 1307,2014-08-27,28000,0,0,28000
SOCIÉTÉ HISTORIQUE DE MONTRÉAL,100 % AGGLOMÉRATION,SERVICE DE LA MISE EN VALEUR DU TERRITOIRE,DIRECTION DE L'URBANISME,1143751009,"ACCORDER UN SOUTIEN FINANCIER TOTALISANT LA SOMME DE 93 992 $ À 5 ORGANISMES DANS LE CADRE DU PROGRAMME D'INTERPRÉTATION ANIMÉE DU VIEUX-MONTRÉAL 2014-2015, DANS LE CADRE DE L'ENTENTE SUR LE DÉVELOPPEMENT CULTUREL DE MONTRÉAL 2008-2011 ET DE L'ENTENTE SUR",CE14 1307,2014-08-27,2500,0,0,2500
