"Parti politique autorisé","Date de la transaction","Nom et adresse du fournisseur*","Montant avant taxes","TPS","TVQ","Montant total","N° de pièce justificative"
"Beny Masella",2014-10-31,"research and secretarial expenses assoc munic banlieue","11987,37",,,"11987,37",1
"Beny Masella",2014-12-31,"research and secretarial expenses assoc munic banlieue 31 décembre 2015","2582,63",,,"2582,63",
"Céline Forget",2014-01-23,"buy hp direct - hewlett-packard","88,95","4,45","8,87","102,27","1"
"Céline Forget",2014-02-13,"buy hp direct - hewlett-packard","62,97","3,15","6,28","72,40","2"
"Coalition Montréal",2014-01-10,"Marie Harel, CPA, CA","1674,75","83,74","167,06","1925,55","RS 2014-01-01"
"Coalition Montréal",2014-01-10,"Salaire","815,00",,,"815,00","RS 2014-01-03"
"Coalition Montréal",2014-01-10,"Salaire","750,00",,,"750,00","RS 2014-02-04"
"Coalition Montréal",2014-01-10,"Salaire","630,00",,,"630,00","RS 2014-01-02"
"Coalition Montréal",2014-01-20,"Marie Harel, CPA, CA","1617,00","80,85","161,30","1859,15","RS 2014-02-01"
"Coalition Montréal",2014-01-27,"Marie Harel, CPA, CA","1366,75","68,34","136,33","1571,42","RS 2014-02-06"
"Coalition Montréal",2014-01-27,"Salaire","795,00",,,"795,00","RS 2014-02-07"
"Coalition Montréal",2014-02-03,"Salaire","180,00",,,"180,00","RS 2014-03-01"
"Coalition Montréal",2014-02-03,"Salaire","570,00",,,"570,00","RS 2014-03-02"
"Coalition Montréal",2014-02-03,"Salaire","810,00",,,"810,00","RS 2014-03-03"
"Coalition Montréal",2014-02-10,"Marie Harel, CPA, CA","173,25","8,66","17,28","199,19","RS 2014-03-04"
"Coalition Montréal",2014-02-14,"Salaire","225,00",,,"225,00","RS 2014-03-05"
"Coalition Montréal",2014-02-14,"Salaire","403,92",,,"403,92","RS 2014-03-06"
"Coalition Montréal",2014-02-14,"Salaire","269,28",,,"269,28","RS 2014-03-08"
"Coalition Montréal",2014-02-14,"Salaire","58,91",,,"58,91","RS 2014-03-07"
"Coalition Montréal",2014-02-17,"Salaire","525,00",,,"525,00","RS 2014-03-09"
"Coalition Montréal",2014-02-17,"Salaire","750,00",,,"750,00","RS 2014-03-10"
"Coalition Montréal",2014-02-17,"Salaire","825,00",,,"825,00","RS 2014-03-11"
"Coalition Montréal",2014-03-23,"Salaire","193,00",,,"193,00","rs 2014-04-01"
"Coalition Montréal",2014-03-23,"Salaire","719,35",,,"719,35","rs 2014-04-02"
"Coalition Montréal",2014-03-23,"Salaire","1307,00",,,"1307,00","rs 2014-04-03"
"Coalition Montréal",2014-03-23,"Salaire","736,89",,,"736,89","rs 2014-04-04"
"Coalition Montréal",2014-03-27,"Salaire","600,00",,,"600,00","rs 2014-04-07"
"Coalition Montréal",2014-03-27,"Salaire","600,00",,,"600,00","rs 2014-04-05"
"Coalition Montréal",2014-03-27,"Salaire","600,00",,,"600,00","rs 2014-04-06"
"Coalition Montréal",2014-04-03,"Salaire","1842,23",,,"1842,23","rs 2014-04-08"
"Coalition Montréal",2014-04-03,"Salaire","473,72",,,"473,72","rs 2014-04-09"
"Coalition Montréal",2014-04-25,"Salaire","1000,00",,,"1000,00","RS 2014-04-25"
"Coalition Montréal",2014-04-27,"Salaire","300,00",,,"300,00","RS 2014-04-27"
"Coalition Montréal",2014-05-12,"Salaire","360,00",,,"360,00","RS 2014-06-01"
"Coalition Montréal",2014-05-22,"Globe and mail po box 610 agincourt on m1s 5m1","239,46","11,97","23,89","275,32","RS 2014-06-02"
"Coalition Montréal",2014-05-26,"Swana","176,00",,,"176,00","RS 2014-11-1"
